# Note - You may enter notes about your run here. They will be displayed every time this log is loaded.
# Saved Wednesday July 07 2021
# To calculate the rpm of your motor: take the Motor_RPM and divide by the number of motor poles / 2
LogSession_ID,Log_Frequency,Drive_Voltage,Drive_Current,Drive_Power,Temperature,Input_Throttle,Output_Throttle,Motor_RPM,Power_Consumption
52,8,28.33,13.98,396.05,87.80,1545,56.00,37140,2.29
52,8,28.32,13.26,375.52,87.80,1536,55.00,36540,2.30
52,8,28.32,12.85,363.91,87.80,1537,55.00,35940,2.31
52,8,28.28,12.98,367.07,87.80,1555,57.00,35940,2.32
52,8,28.22,13.42,378.71,87.80,1555,57.00,36540,2.34
52,8,28.17,13.92,392.13,87.80,1556,57.00,37140,2.35
52,8,28.17,14.03,395.23,87.80,1561,58.00,36540,2.36
52,8,28.17,14.07,396.35,87.80,1554,57.00,37140,2.37
52,8,28.17,13.87,390.72,87.80,1552,57.00,37140,2.38
52,8,28.16,13.97,393.40,87.80,1565,58.00,36540,2.40
52,8,28.15,14.63,411.83,87.80,1584,61.00,37140,2.41
52,8,28.17,15.05,423.96,87.80,1574,60.00,38400,2.42
52,8,28.16,15.20,428.03,87.80,1565,58.00,38400,2.43
52,8,28.16,14.29,402.41,87.80,1555,57.00,37740,2.45
52,8,28.15,13.44,378.34,87.80,1530,54.00,37140,2.46
52,8,28.16,12.82,361.01,87.80,1546,56.00,36540,2.47
52,8,28.15,13.10,368.76,87.80,1572,59.00,36540,2.48
52,8,28.15,15.07,424.22,87.80,1575,60.00,37740,2.49
52,8,28.14,15.07,424.07,87.80,1566,58.00,37740,2.51
52,8,28.14,14.60,410.84,87.80,1570,59.00,37740,2.52
52,8,28.13,14.29,401.98,87.80,1573,59.00,37740,2.53
52,8,28.12,14.50,407.74,87.80,1573,59.00,37740,2.55
52,8,28.12,14.77,415.33,87.80,1578,60.00,37740,2.56
52,8,28.11,14.89,418.56,87.80,1567,58.00,37740,2.57
52,8,28.11,14.62,410.97,87.80,1585,61.00,37740,2.58
52,8,28.10,14.60,410.26,87.80,1573,59.00,38400,2.60
52,8,28.08,14.83,416.43,87.80,1569,59.00,38400,2.61
52,8,28.09,14.25,400.28,87.80,1556,57.00,37740,2.62
52,8,28.09,13.51,379.50,87.80,1554,57.00,37140,2.63
52,8,28.08,13.47,378.24,87.80,1566,58.00,37140,2.64
52,8,28.09,14.11,396.35,87.80,1566,58.00,37140,2.66
52,8,28.09,14.50,407.31,87.80,1562,58.00,37740,2.67
52,8,28.08,14.29,401.26,87.80,1570,59.00,37140,2.68
52,8,28.08,14.23,399.58,87.80,1551,57.00,37740,2.69
52,8,28.09,13.71,385.11,89.60,1547,56.00,37140,2.71
52,8,28.09,13.40,376.41,89.60,1553,57.00,36540,2.72
52,8,28.08,13.58,381.33,89.60,1553,57.00,36540,2.73
52,8,28.07,13.72,385.12,91.40,1554,57.00,36540,2.74
52,8,28.07,13.61,382.03,91.40,1542,56.00,36540,2.75
52,8,28.07,13.29,373.05,91.40,1542,56.00,36540,2.76
52,8,28.08,13.31,373.74,91.40,1556,57.00,35940,2.78
52,8,28.07,13.97,392.14,91.40,1570,59.00,36540,2.79
52,8,28.03,14.29,400.55,91.40,1553,57.00,37140,2.80
52,8,28.02,14.23,398.72,91.40,1564,58.00,36540,2.81
52,8,28.03,14.07,394.38,91.40,1554,57.00,37740,2.83
52,8,28.01,13.92,389.90,91.40,1566,58.00,37140,2.84
52,8,28.02,13.91,389.76,91.40,1554,57.00,37140,2.85
52,8,28.03,13.87,388.78,91.40,1551,57.00,36540,2.86
52,8,28.03,13.72,384.57,91.40,1557,57.00,36540,2.87
52,8,28.01,13.74,384.86,91.40,1565,58.00,36540,2.89
52,8,28.01,13.95,390.74,91.40,1552,57.00,37140,2.90
52,8,28.00,13.76,385.28,91.40,1546,56.00,36540,2.91
52,8,27.99,13.42,375.63,91.40,1553,57.00,36540,2.92
52,8,27.98,13.63,381.37,91.40,1564,58.00,36540,2.93
52,8,27.98,14.06,393.40,91.40,1555,57.00,37140,2.95
52,8,27.99,13.91,389.34,91.40,1540,55.00,36540,2.96
52,8,28.00,13.33,373.24,91.40,1555,57.00,36540,2.97
52,8,27.99,13.66,382.34,91.40,1563,58.00,36540,2.98
52,8,27.95,14.32,400.24,91.40,1570,59.00,37140,2.99
52,8,27.91,14.19,396.04,91.40,1565,58.00,37740,3.01
52,8,27.88,14.05,391.71,91.40,1554,57.00,37140,3.02
52,8,27.87,13.87,386.56,91.40,1574,60.00,37140,3.03
52,8,27.84,14.28,397.56,91.40,1581,60.00,37140,3.04
52,8,27.85,15.07,419.70,91.40,1567,58.00,37740,3.06
52,8,27.86,14.56,405.64,91.40,1564,58.00,37740,3.07
52,8,27.87,13.63,379.87,91.40,1555,57.00,37140,3.08
52,8,27.86,13.59,378.62,91.40,1571,59.00,36540,3.09
52,8,27.84,14.75,410.64,91.40,1568,59.00,37140,3.10
52,8,27.81,14.68,408.25,91.40,1562,58.00,37740,3.12
52,8,27.83,13.93,387.67,91.40,1553,57.00,37140,3.13
52,8,27.83,13.49,375.43,91.40,1548,56.00,36540,3.14
52,8,27.83,13.21,367.63,91.40,1552,57.00,36540,3.15
52,8,27.82,13.24,368.34,91.40,1557,57.00,35940,3.16
52,8,27.81,13.49,375.16,91.40,1550,56.00,36540,3.18
52,8,27.81,13.62,378.77,91.40,1545,56.00,35940,3.19
52,8,27.81,13.10,364.31,91.40,1529,54.00,35340,3.20
52,8,27.81,12.66,352.07,91.40,1540,55.00,35340,3.21
52,8,27.81,13.06,363.20,91.40,1557,57.00,35940,3.22
52,8,27.79,14.12,392.39,91.40,1557,57.00,35940,3.23
52,8,27.76,14.04,389.75,91.40,1551,57.00,36540,3.25
52,8,27.75,13.53,375.46,91.40,1554,57.00,35940,3.26
52,8,27.75,13.70,380.17,91.40,1552,57.00,36540,3.27
52,8,27.75,13.89,385.45,91.40,1560,58.00,36540,3.28
52,8,27.75,14.04,389.61,91.40,1577,60.00,37140,3.29
